Game ID,Date,Time,Venue,Gender,Level,Home Team,Away Team,Conference
227-HSB24,9/3/2024,3:30 PM,Hastings High School,Boys,C-Squad,Hastings,Burnsville,MEC
228-HSG24,9/3/2024,3:30 PM,Hastings High School,Girls,C-Squad,Hastings,Burnsville,MEC
228-HSB24,9/3/2024,5:00 PM,Hastings High School,Boys,JV,Hastings,Burnsville,MEC
229-HSG24,9/3/2024,5:00 PM,Hastings High School,Girls,JV,Hastings,Burnsville,MEC
116-HSB24,9/3/2024,5:00 PM,Hastings High School,Boys,Varsity,Hastings,Burnsville,MEC
119-HSG24,9/3/2024,5:00 PM,Irondale High School,Girls,Varsity,Irondale,Columbia Heights,SEC
120-HSG24,9/3/2024,5:00 PM,Park High School,Girls,Varsity,Park,Apple Valley,SEC
123-HSG24,9/3/2024,5:00 PM,South St Paul High School,Girls,Varsity,South St Paul,Johnson,MEC
244-HSG24,9/3/2024,5:00 PM,Two Rivers High School,Girls,JV,Two Rivers,'Benilde-St Margaret''s',MEC
122-HSG24,9/3/2024,7:00 PM,Hastings High School,Girls,Varsity,Hastings,Burnsville,MEC
118-HSB24,9/3/2024,7:00 PM,Irondale High School,Boys,Varsity,Irondale,Tartan,SEC
119-HSB24,9/3/2024,7:00 PM,Park High School,Boys,Varsity,Park,Apple Valley,SEC
117-HSB24,9/3/2024,7:00 PM,South St Paul High School,Boys,Varsity,South St Paul,St Paul Humboldt,MEC
124-HSG24,9/3/2024,7:00 PM,Two Rivers High School,Girls,Varsity,Two Rivers,'Benilde-St Margaret''s',MEC
121-HSG24,9/3/2024,7:00 PM,Woodbury High School,Girls,Varsity,Woodbury,Lakeville South,SEC
118-HSG24,9/3/2024,7:30 PM,Cretin-Derham Hall,Girls,Varsity,Cretin-Derham Hall,Mahtomedi,SEC
125-HSG24,9/4/2024,7:00 PM,Forest Lake High School,Girls,Varsity,Forest Lake,Chisago Lakes,SEC
120-HSB24,9/4/2024,7:30 PM,Woodbury High School,Boys,Varsity,Woodbury,Stillwater,SEC
125-HSB24,9/5/2024,5:00 PM,East Ridge High School,Boys,Varsity,East Ridge,Roseville,SEC
128-HSB24,9/5/2024,5:00 PM,Forest Lake High School,Boys,Varsity,Forest Lake,Cretin-Derham Hall,SEC
130-HSG24,9/5/2024,5:00 PM,North St Paul High School,Girls,Varsity,North St Paul,St Paul Harding,MEC
126-HSB24,9/5/2024,5:00 PM,Park High School,Boys,Varsity,Park,Mounds View,SEC
131-HSG24,9/5/2024,5:00 PM,Simley High School,Girls,Varsity,Simley,Hill-Murray,MEC
132-HSG24,9/5/2024,5:00 PM,South St Paul High School,Girls,Varsity,South St Paul,Mahtomedi,MEC
124-HSB24,9/5/2024,5:00 PM,Tartan High School,Boys,Varsity,Tartan,Two Rivers,MEC
127-HSB24,9/5/2024,5:00 PM,White Bear Lake North High School,Boys,Varsity,White Bear Lake,Irondale,SEC
126-HSG24,9/5/2024,7:00 PM,East Ridge High School,Girls,Varsity,East Ridge,Roseville,SEC
134-HSG24,9/5/2024,7:00 PM,Forest Lake High School,Girls,Varsity,Forest Lake,Cretin-Derham Hall,SEC
121-HSB24,9/5/2024,7:00 PM,North St Paul High School,Boys,Varsity,North St Paul,St Thomas Academy,MEC
127-HSG24,9/5/2024,7:00 PM,Park High School,Girls,Varsity,Park,Mounds View,SEC
122-HSB24,9/5/2024,7:00 PM,Simley High School,Boys,Varsity,Simley,Hill-Murray,MEC
123-HSB24,9/5/2024,7:00 PM,South St Paul High School,Boys,Varsity,South St Paul,Mahtomedi,MEC
133-HSG24,9/5/2024,7:00 PM,Tartan High School,Girls,Varsity,Tartan,Two Rivers,MEC
128-HSG24,9/5/2024,7:00 PM,White Bear Lake North High School,Girls,Varsity,White Bear Lake,Irondale,SEC
129-HSG24,9/5/2024,7:00 PM,Woodbury High School,Girls,Varsity,Woodbury,Stillwater,SEC
230-HSG24,9/7/2024,9:00 AM,Hastings High School,Girls,C-Squad,Hastings,Apple Valley,MEC
229-HSB24,9/7/2024,11:00 AM,Hastings High School,Boys,C-Squad,Hastings,Apple Valley,MEC
137-HSG24,9/7/2024,11:00 AM,North St Paul High School,Girls,Varsity,North St Paul,Richfield,MEC
129-HSB24,9/7/2024,12:00 PM,Hill-Murray High School,Boys,Varsity,Hill-Murray,Cretin-Derham Hall,MEC
130-HSB24,9/7/2024,12:00 PM,South St Paul High School,Boys,Varsity,South St Paul,Highland Park,MEC
135-HSG24,9/7/2024,1:00 PM,Irondale High School,Girls,Varsity,Irondale,Fridley,SEC
136-HSG24,9/7/2024,1:00 PM,Roseville High School,Girls,Varsity,Roseville,Concordia Academy,SEC
244-HSB24,9/7/2024,5:00 PM,Two Rivers High School,Boys,JV,Two Rivers,Eastview,MEC
131-HSB24,9/7/2024,7:00 PM,Two Rivers High School,Boys,Varsity,Two Rivers,Eastview,MEC
231-HSG24,9/9/2024,3:45 PM,Hastings High School,Girls,JV,Hastings,Two Rivers,MEC
138-HSG24,9/9/2024,5:00 PM,Hastings High School,Girls,Varsity,Hastings,Two Rivers,MEC
139-HSG24,9/9/2024,5:00 PM,Mahtomedi High School,Girls,Varsity,Mahtomedi,Tartan,MEC
135-HSB24,9/9/2024,5:00 PM,North St Paul High School,Boys,Varsity,North St Paul,South St Paul,MEC
230-HSB24,9/9/2024,5:15 PM,Hastings High School,Boys,JV,Hastings,Two Rivers,MEC
132-HSB24,9/9/2024,7:00 PM,Hastings High School,Boys,Varsity,Hastings,Two Rivers,MEC
133-HSB24,9/9/2024,7:00 PM,Hill-Murray High School,Boys,Varsity,Hill-Murray,St Thomas Academy,MEC
134-HSB24,9/9/2024,7:00 PM,Mahtomedi High School,Boys,Varsity,Mahtomedi,Tartan,MEC
140-HSG24,9/9/2024,7:00 PM,North St Paul High School,Girls,Varsity,North St Paul,South St Paul,MEC
141-HSG24,9/10/2024,5:00 PM,Cretin-Derham Hall,Girls,Varsity,Cretin-Derham Hall,Stillwater,SEC
142-HSG24,9/10/2024,5:00 PM,East Ridge High School,Girls,Varsity,East Ridge,Woodbury,SEC
143-HSG24,9/10/2024,5:00 PM,Irondale High School,Girls,Varsity,Irondale,Forest Lake,SEC
139-HSB24,9/10/2024,5:00 PM,Mounds View High School,Boys,Varsity,Mounds View,White Bear Lake,SEC
145-HSG24,9/10/2024,5:00 PM,Roseville High School,Girls,Varsity,Roseville,Park,SEC
136-HSB24,9/10/2024,7:00 PM,Cretin-Derham Hall,Boys,Varsity,Cretin-Derham Hall,Stillwater,SEC
137-HSB24,9/10/2024,7:00 PM,East Ridge High School,Boys,Varsity,East Ridge,Woodbury,SEC
138-HSB24,9/10/2024,7:00 PM,Irondale High School,Boys,Varsity,Irondale,Forest Lake,SEC
144-HSG24,9/10/2024,7:00 PM,Mounds View High School,Girls,Varsity,Mounds View,White Bear Lake,SEC
140-HSB24,9/10/2024,7:00 PM,Roseville High School,Boys,Varsity,Roseville,Park,SEC
146-HSG24,9/11/2024,5:00 PM,Hastings High School,Girls,Varsity,Hastings,North St Paul,MEC
142-HSB24,9/11/2024,5:00 PM,Hill-Murray High School,Boys,Varsity,Hill-Murray,Mahtomedi,MEC
144-HSB24,9/11/2024,5:00 PM,Simley High School,Boys,Varsity,Simley,Tartan,MEC
231-HSB24,9/11/2024,5:15 PM,Hastings High School,Boys,JV,Hastings,North St Paul,MEC
141-HSB24,9/11/2024,7:00 PM,Hastings High School,Boys,Varsity,Hastings,North St Paul,MEC
147-HSG24,9/11/2024,7:00 PM,Hill-Murray High School,Girls,Varsity,Hill-Murray,Mahtomedi,MEC
148-HSG24,9/11/2024,7:00 PM,Simley High School,Girls,Varsity,Simley,Tartan,MEC
149-HSG24,9/11/2024,7:00 PM,South St Paul High School,Girls,Varsity,South St Paul,St Croix Prepatory,MEC
143-HSB24,9/11/2024,7:00 PM,St Thomas Academy,Boys,Varsity,St Thomas Academy,South St Paul,MEC
150-HSG24,9/12/2024,5:00 PM,Forest Lake High School,Girls,Varsity,Forest Lake,Mounds View,SEC
151-HSG24,9/12/2024,5:00 PM,Park High School,Girls,Varsity,Park,East Ridge,SEC
152-HSG24,9/12/2024,5:00 PM,Stillwater High School,Girls,Varsity,Stillwater,Irondale,SEC
153-HSG24,9/12/2024,5:00 PM,White Bear Lake North High School,Girls,Varsity,White Bear Lake,Roseville,SEC
154-HSG24,9/12/2024,5:00 PM,Woodbury High School,Girls,Varsity,Woodbury,Cretin-Derham Hall,SEC
145-HSB24,9/12/2024,7:00 PM,Forest Lake High School,Boys,Varsity,Forest Lake,Mounds View,SEC
146-HSB24,9/12/2024,7:00 PM,Park High School,Boys,Varsity,Park,East Ridge,SEC
147-HSB24,9/12/2024,7:00 PM,Stillwater High School,Boys,Varsity,Stillwater,Irondale,SEC
148-HSB24,9/12/2024,7:00 PM,White Bear Lake North High School,Boys,Varsity,White Bear Lake,Roseville,SEC
149-HSB24,9/12/2024,7:00 PM,Woodbury High School,Boys,Varsity,Woodbury,Cretin-Derham Hall,SEC
155-HSG24,9/13/2024,5:00 PM,North St Paul High School,Girls,Varsity,North St Paul,Mounds Park Academy,MEC
232-HSG24,9/14/2024,11:00 AM,Hastings High School,Girls,JV,Hastings,Minnetonka,MEC
